lambda_orth,hier_theta,AUC,best_hm,attr_acc,best_seen,best_unseen,obj_acc,biasterm
0.001,0.5,0.40297690394241137,0.5487084004185205,0.6043239235877991,0.6911045908927917,0.6509783267974854,0.7395333051681519,3.1249001026153564
0.001,0.8,0.4067150832478662,0.5538632347936566,0.6067261695861816,0.6920821070671082,0.6562665104866028,0.7395333051681519,3.1249001026153564
0.001,1.0,0.4092222105258214,0.5557913886807386,0.6077556610107422,0.6920821070671082,0.6599682569503784,0.7402196526527405,3.1249001026153564
0.001,1.3,0.41018473190179616,0.556128285572879,0.6080988049507141,0.6911045908927917,0.663670003414154,0.7395333051681519,3.1249001026153564
0.001,1.6,0.41342098776040404,0.5582057080568845,0.6077556610107422,0.6881720423698425,0.6689582467079163,0.7402196526527405,3.1249001026153564
0.005,0.5,0.40373678621310516,0.550155557005193,0.6046671271324158,0.6920821070671082,0.6520359516143799,0.7391901016235352,3.1249001026153564
0.005,0.8,0.40803584944757043,0.5545360497742551,0.6063829660415649,0.6930596232414246,0.6583818197250366,0.7385037541389465,3.2499001026153564
0.005,1.0,0.4097580099946523,0.5562184414155061,0.6080988049507141,0.6930596232414246,0.6599682569503784,0.7395333051681519,3.1249001026153564
0.005,1.3,0.41009427283912636,0.5548837346083435,0.6080988049507141,0.6911045908927917,0.6631411910057068,0.7398764491081238,2.9999001026153564
0.005,1.6,0.4134956838080539,0.5587967615375087,0.6077556610107422,0.6881720423698425,0.6694870591163635,0.7395333051681519,3.1249001026153564
0.01,0.5,0.40384792421974813,0.550155557005193,0.6053534746170044,0.6920821070671082,0.6520359516143799,0.7381606101989746,3.1249001026153564
0.01,0.8,0.40815939900954,0.5541030857507542,0.6070693135261536,0.6930596232414246,0.6578530073165894,0.7391901016235352,3.2499001026153564
0.01,1.0,0.4101495750796982,0.5547134987111477,0.6074125170707703,0.6930596232414246,0.6604970693588257,0.7381606101989746,3.1249001026153564
0.01,1.3,0.41051479512103217,0.5569453352712355,0.6070693135261536,0.6911045908927917,0.661554753780365,0.7371311187744141,3.1249001026153564
0.01,1.6,0.4145577246379517,0.556884085605988,0.6070693135261536,0.6881720423698425,0.6721311211585999,0.7385037541389465,3.1249001026153564
0.05,0.5,0.40494433765969795,0.5506020331061071,0.6050102710723877,0.6920821070671082,0.654680073261261,0.7395333051681519,3.2499001026153564
0.05,0.8,0.40993660364427864,0.5548351997355185,0.6056966185569763,0.6930596232414246,0.6594394445419312,0.7391901016235352,3.1249001026153564
0.05,1.0,0.4103212071975344,0.5547134987111477,0.6067261695861816,0.6930596232414246,0.6610259413719177,0.7381606101989746,3.1249001026153564
0.05,1.3,0.4115215162814634,0.5569054376906241,0.6053534746170044,0.6930596232414246,0.6663141250610352,0.7371311187744141,3.2499001026153564
0.05,1.6,0.4147360531801665,0.5563109214487784,0.6050102710723877,0.6911045908927917,0.6710734963417053,0.7391901016235352,3.1249001026153564
